Abstract,Task 1
A comparison with state-of-the-art change detection methods evidences the accuracy of the proposed strategy.,RESULTS/CONCLUSIONS
Subject aspects such as behavioral characters that influences ASD need further exploration.,BACKGROUND
Results demonstrate the improvement of testing accuracy is 12% on average and as much as 20% for the CIFAR-10 case while 5% testing accuracy improvement for the ImageNet case during the early stage of learning.,RESULTS
"It is a simple proposal, but to-date one that has not been tested empirically.",OTHERS
Two-stage training (pre-training and fine-tuning) allows our network to handle any target object regardless of its category (even if the object's type does not belong to the pre-training data) or of variations in its appearance through a video sequence.,METHODS
The conformalClassification package implements Transductive Conformal Prediction (TCP) and Inductive Conformal Prediction (ICP) for classification problems.,OBJECTIVES/METHODS
"Rapid deployment, mobility, higher chances of unobstructed propagation path, and flexibility features of UAV-BSs have attracted significant attention.",BACKGROUND
The main idea is that normal point has similar characteristics with several neighbors.,BACKGROUND/METHODS
"Finally, we examine the local topological structures of interactions between users, we discover that the relative frequency of triadic interactions experiences a strong change before, during and after a bubble, and suggest that the importance of the hubs grows during the bubble.",METHODS/RESULTS
"To the best of our knowledge, this is the first study where discourse relationships between sentences have been used to determine relationships among sentences in legal court case transcripts.",OTHERS
The knowledge extracted from the engineering materials data sets is proposed for effective decision making in advanced engineering materials design applications.,CONCLUSIONS
"The paper proposes an approach to modeling users of large Web sites based on combining different data sources: access logs and content of the accessed pages are combined with semantic information about the Web pages, the users and the accesses of the users to the Web site.",OBJECTIVES
"Three control formulations are considered: 1) minimizing the queueing and idleness cost, 2) minimizing the queueing cost under a constraints on idleness at each server pool, and 3) fairly allocating the idle servers among different server pools.",METHODS
"We show that for arbitrary MRFs, this relaxation is tight, and a discrete stationary point of it can be easily reached by a simple block coordinate descent algorithm.",RESULTS
"We achieve this through bidirectional image translation based on Generative Adversarial Networks and cross-domain autoencoders, a novel network component.",METHODS
ADFQ improves common drawbacks of other Bayesian RL algorithms such as computational complexity.,RESULTS
"We demonstrate that INTR outperforms conventional TR with respect to average BER per user and achievable sum rate under diverse conditions, providing both diversity and multiplexing gains simultaneously.",CONCLUSIONS
"Also, the critical components for the integration of satellite and terrestrial networks are studied, such as cognitive satellite systems and satellite-terrestrial backhaul for caching.",OBJECTIVES
